fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.76,0.41,0.24,0.18,0.08,0.04,0.011,0.9962,0.328,0.59,0.95,5
0.79,0.43,0.21,0.16,0.106,0.1,0.037,0.9966,0.317,0.91,0.95,5
0.71,0.71,0,0.19,0.08,0.14,0.035,0.9972,0.347,0.55,0.94,5
0.78,0.645,0,0.2,0.082,0.08,0.016,0.9964,0.338,0.59,0.98,6
0.67,0.675,0.07,0.24,0.089,0.17,0.082,0.9958,0.335,0.54,1.01,5
0.69,0.685,0,0.25,0.105,0.22,0.037,0.9966,0.346,0.57,1.06,6
0.83,0.655,0.12,0.23,0.083,0.15,0.113,0.9966,0.317,0.66,0.98,5
0.69,0.605,0.12,1.07,0.073,0.4,0.083,0.9993,0.345,0.52,0.94,6
0.52,0.32,0.25,0.18,0.103,0.13,0.05,0.9957,0.338,0.55,0.92,5
0.78,0.645,0,0.55,0.086,0.05,0.018,0.9986,0.34,0.55,0.96,6
0.78,0.6,0.14,0.24,0.086,0.03,0.015,0.9975,0.342,0.6,1.08,6
0.81,0.38,0.28,0.21,0.066,0.13,0.03,0.9968,0.323,0.73,0.97,7
0.57,1.13,0.09,0.15,0.172,0.07,0.019,0.994,0.35,0.48,0.98,4
0.73,0.45,0.36,0.59,0.074,0.12,0.087,0.9978,0.333,0.83,1.05,5
0.73,0.45,0.36,0.59,0.074,0.12,0.087,0.9978,0.333,0.83,1.05,5
0.88,0.61,0.3,0.28,0.088,0.17,0.046,0.9976,0.326,0.51,0.93,4
0.75,0.49,0.2,0.26,0.332,0.08,0.014,0.9968,0.321,0.9,1.05,6
0.81,0.66,0.22,0.22,0.069,0.09,0.023,0.9968,0.33,1.2,1.03,5
0.68,0.67,0.02,0.18,0.05,0.05,0.011,0.9962,0.348,0.52,0.95,5
0.46,0.52,0.15,0.21,0.054,0.08,0.065,0.9934,0.39,0.56,1.31,4
0.77,0.935,0.43,0.22,0.114,0.22,0.114,0.997,0.325,0.73,0.92,5
0.87,0.29,0.52,0.16,0.113,0.12,0.037,0.9969,0.325,0.58,0.95,5
0.64,0.4,0.23,0.16,0.066,0.05,0.012,0.9958,0.334,0.56,0.92,5
0.56,0.31,0.37,0.14,0.074,0.12,0.096,0.9954,0.332,0.58,0.92,5
0.88,0.66,0.26,0.17,0.074,0.04,0.023,0.9971,0.315,0.74,0.92,5
0.66,0.52,0.04,0.22,0.069,0.08,0.015,0.9956,0.34,0.63,0.94,6
0.66,0.5,0.04,0.21,0.068,0.06,0.014,0.9955,0.339,0.64,0.94,6
0.86,0.38,0.36,0.3,0.081,0.3,0.119,0.997,0.32,0.56,0.94,5
0.76,0.51,0.15,0.28,0.11,0.33,0.073,0.9955,0.317,0.63,1.02,6
0.77,0.62,0.04,0.38,0.084,0.25,0.045,0.9978,0.334,0.53,0.95,5
1.02,0.42,0.57,0.34,0.07,0.04,0.01,0.9971,0.304,0.63,0.96,5
0.75,0.63,0.12,0.51,0.111,0.5,0.11,0.9983,0.326,0.77,0.94,5
0.78,0.59,0.18,0.23,0.076,0.17,0.054,0.9975,0.343,0.59,1,5
0.73,0.39,0.31,0.24,0.074,0.09,0.046,0.9962,0.341,0.54,0.94,6
0.88,0.4,0.4,0.22,0.079,0.19,0.052,0.998,0.344,0.64,0.92,5
0.77,0.69,0.49,0.18,0.115,0.2,0.112,0.9968,0.321,0.71,0.93,5
0.75,0.52,0.16,0.19,0.085,0.12,0.035,0.9968,0.338,0.62,0.95,7
0.7,0.735,0.05,0.2,0.081,0.13,0.054,0.9966,0.339,0.57,0.98,5
0.72,0.725,0.05,0.465,0.086,0.04,0.011,0.9962,0.341,0.39,1.09,5
0.72,0.725,0.05,0.465,0.086,0.04,0.011,0.9962,0.341,0.39,1.09,5
0.75,0.52,0.11,0.15,0.079,0.11,0.039,0.9968,0.342,0.58,0.96,5
0.66,0.705,0.07,0.16,0.076,0.06,0.015,0.9962,0.344,0.58,1.07,5
0.93,0.32,0.57,0.2,0.074,0.27,0.065,0.9969,0.328,0.79,1.07,5
0.8,0.705,0.05,0.19,0.074,0.08,0.019,0.9962,0.334,0.95,1.05,6
0.77,0.63,0.08,0.19,0.076,0.15,0.027,0.9967,0.332,0.54,0.95,6
0.77,0.67,0.23,0.21,0.088,0.17,0.096,0.9962,0.332,0.48,0.95,5
0.77,0.69,0.22,0.19,0.084,0.18,0.094,0.9961,0.331,0.48,0.95,5
0.83,0.675,0.26,0.21,0.084,0.11,0.043,0.9976,0.331,0.53,0.92,4
0.97,0.32,0.54,0.25,0.094,0.28,0.083,0.9984,0.328,0.82,0.96,5
0.88,0.41,0.64,0.22,0.093,0.09,0.042,0.9986,0.354,0.66,1.05,5
0.88,0.41,0.64,0.22,0.093,0.09,0.042,0.9986,0.354,0.66,1.05,5
0.68,0.785,0,0.24,0.104,0.14,0.03,0.9966,0.352,0.55,1.07,6
0.67,0.75,0.12,0.2,0.086,0.12,0.08,0.9958,0.338,0.52,1.01,5
0.83,0.625,0.2,0.15,0.08,0.27,0.119,0.9972,0.316,1.12,0.91,4
0.62,0.45,0.2,0.16,0.069,0.03,0.015,0.9958,0.341,0.56,0.92,5
0.78,0.43,0.7,0.19,0.464,0.22,0.067,0.9974,0.313,1.28,0.94,5
0.74,0.5,0.47,0.2,0.086,0.21,0.073,0.997,0.336,0.57,0.91,5
0.73,0.67,0.26,0.18,0.401,0.16,0.051,0.9969,0.316,1.14,0.94,5
0.63,0.3,0.48,0.18,0.069,0.18,0.061,0.9959,0.344,0.78,1.03,6
0.69,0.55,0.15,0.22,0.076,0.19,0.04,0.9961,0.341,0.59,1.01,5
0.86,0.49,0.28,0.19,0.11,0.2,0.136,0.9972,0.293,1.95,0.99,6
0.77,0.49,0.26,0.19,0.062,0.09,0.031,0.9966,0.339,0.64,0.96,5
0.93,0.39,0.44,0.21,0.107,0.34,0.125,0.9978,0.314,1.22,0.95,5
0.7,0.62,0.08,0.18,0.076,0.08,0.024,0.9978,0.348,0.53,0.9,5
0.79,0.52,0.26,0.19,0.079,0.42,0.14,0.9964,0.323,0.54,0.95,5
0.86,0.49,0.28,0.19,0.11,0.2,0.136,0.9972,0.293,1.95,0.99,6
0.86,0.49,0.29,0.2,0.11,0.19,0.133,0.9972,0.293,1.98,0.98,5
0.77,0.49,0.26,0.19,0.062,0.09,0.031,0.9966,0.339,0.64,0.96,5
0.5,1.02,0.04,0.14,0.045,0.41,0.085,0.9938,0.375,0.48,1.05,4
0.47,0.6,0.17,0.23,0.058,0.17,0.106,0.9932,0.385,0.6,1.29,6
0.68,0.775,0,0.3,0.102,0.08,0.023,0.9965,0.345,0.56,1.07,5
0.7,0.5,0.25,0.2,0.07,0.03,0.022,0.9963,0.325,0.63,0.92,5
0.76,0.9,0.06,0.25,0.079,0.05,0.01,0.9967,0.339,0.56,0.98,5
0.81,0.545,0.18,0.19,0.08,0.13,0.035,0.9972,0.33,0.59,0.9,6
0.83,0.61,0.3,0.21,0.084,0.11,0.05,0.9972,0.34,0.61,1.02,6
0.78,0.5,0.3,0.19,0.075,0.08,0.022,0.9959,0.331,0.56,1.04,6
0.81,0.545,0.18,0.19,0.08,0.13,0.035,0.9972,0.33,0.59,0.9,6
0.81,0.575,0.22,0.21,0.077,0.12,0.065,0.9967,0.329,0.51,0.92,5
0.72,0.49,0.24,0.22,0.07,0.05,0.036,0.996,0.333,0.48,0.94,5
0.81,0.575,0.22,0.21,0.077,0.12,0.065,0.9967,0.329,0.51,0.92,5
0.78,0.41,0.68,0.17,0.467,0.18,0.069,0.9973,0.308,1.31,0.93,5
0.62,0.63,0.31,0.17,0.088,0.15,0.064,0.9969,0.346,0.79,0.93,5
0.8,0.33,0.53,0.25,0.091,0.18,0.08,0.9976,0.337,0.8,0.96,6
0.81,0.785,0.52,0.2,0.122,0.37,0.153,0.9969,0.321,0.69,0.93,5
0.78,0.56,0.19,0.18,0.104,0.12,0.047,0.9964,0.319,0.93,0.95,5
0.84,0.62,0.09,0.22,0.084,0.11,0.108,0.9964,0.315,0.66,0.98,5
0.84,0.6,0.1,0.22,0.085,0.14,0.111,0.9964,0.315,0.66,0.98,5
1.01,0.31,0.44,0.23,0.08,0.22,0.046,0.9988,0.332,0.67,0.97,6
0.78,0.56,0.19,0.18,0.104,0.12,0.047,0.9964,0.319,0.93,0.95,5
0.94,0.4,0.31,0.22,0.09,0.13,0.062,0.9966,0.307,0.63,1.05,6
0.83,0.54,0.28,0.19,0.077,0.11,0.04,0.9978,0.339,0.61,1,6
0.78,0.56,0.12,0.2,0.082,0.07,0.028,0.997,0.337,0.5,0.94,6
0.88,0.55,0.04,0.22,0.119,0.14,0.056,0.9962,0.321,0.6,1.09,6
0.7,0.69,0.08,0.18,0.097,0.22,0.089,0.9959,0.334,0.54,0.92,6
0.73,1.07,0.09,0.17,0.178,0.1,0.089,0.9962,0.33,0.57,0.9,5
0.88,0.55,0.04,0.22,0.119,0.14,0.056,0.9962,0.321,0.6,1.09,6
0.73,0.695,0,0.25,0.075,0.03,0.013,0.998,0.349,0.52,0.92,5
0.8,0.71,0,0.26,0.08,0.11,0.034,0.9976,0.344,0.53,0.95,5
0.78,0.5,0.17,0.16,0.082,0.21,0.102,0.996,0.339,0.48,0.95,5
0.9,0.62,0.04,0.19,0.146,0.27,0.09,0.9984,0.316,0.7,0.94,5
0.82,1.33,0,0.17,0.081,0.03,0.012,0.9964,0.353,0.49,1.09,5
0.81,1.33,0,0.18,0.082,0.03,0.012,0.9964,0.354,0.48,1.09,5
0.8,0.59,0.16,0.18,0.065,0.03,0.016,0.9962,0.342,0.92,1.05,7
0.61,0.38,0.15,0.18,0.072,0.06,0.019,0.9955,0.342,0.57,0.94,5
0.8,0.745,0.56,0.2,0.118,0.3,0.134,0.9968,0.324,0.66,0.94,5
0.56,0.5,0.09,0.23,0.049,0.17,0.099,0.9937,0.363,0.63,1.3,5
0.56,0.5,0.09,0.23,0.049,0.17,0.099,0.9937,0.363,0.63,1.3,5
0.66,0.5,0.01,0.15,0.06,0.17,0.026,0.9952,0.34,0.58,0.98,6
0.79,1.04,0.05,0.22,0.084,0.13,0.029,0.9959,0.322,0.55,0.99,6
0.84,0.745,0.11,0.19,0.09,0.16,0.063,0.9965,0.319,0.82,0.96,5
0.83,0.715,0.15,0.18,0.089,0.1,0.052,0.9968,0.323,0.77,0.95,5
0.72,0.415,0.36,0.2,0.081,0.13,0.045,0.9972,0.348,0.64,0.92,5
0.78,0.56,0.19,0.21,0.081,0.15,0.105,0.9962,0.333,0.54,0.95,5
0.78,0.56,0.19,0.2,0.081,0.17,0.108,0.9962,0.332,0.54,0.95,5
0.84,0.745,0.11,0.19,0.09,0.16,0.063,0.9965,0.319,0.82,0.96,5
0.83,0.715,0.15,0.18,0.089,0.1,0.052,0.9968,0.323,0.77,0.95,5
0.52,0.34,0,0.18,0.05,0.27,0.063,0.9916,0.368,0.79,1.4,6
0.63,0.39,0.08,0.17,0.066,0.03,0.02,0.9954,0.334,0.58,0.94,5
0.52,0.34,0,0.18,0.05,0.27,0.063,0.9916,0.368,0.79,1.4,6
0.81,0.67,0.55,0.18,0.117,0.32,0.141,0.9968,0.317,0.62,0.94,5
0.58,0.68,0.02,0.18,0.087,0.21,0.094,0.9944,0.354,0.52,1,5
0.76,0.49,0.26,0.16,0.236,0.1,0.088,0.9968,0.311,0.8,0.93,5
0.69,0.49,0.1,0.23,0.074,0.12,0.03,0.9959,0.342,0.58,1.02,6
0.82,0.4,0.44,0.28,0.089,0.11,0.043,0.9975,0.353,0.61,1.05,6
0.73,0.33,0.47,0.21,0.077,0.05,0.011,0.9958,0.333,0.53,1.03,6
0.92,0.52,1,0.34,0.61,0.32,0.069,0.9996,0.274,2,0.94,4
0.75,0.6,0.03,0.18,0.095,0.25,0.099,0.995,0.335,0.54,1.01,5
0.75,0.6,0.03,0.18,0.095,0.25,0.099,0.995,0.335,0.54,1.01,5
0.71,0.43,0.42,0.55,0.07,0.29,0.129,0.9973,0.342,0.72,1.05,5
0.71,0.43,0.42,0.55,0.071,0.28,0.128,0.9973,0.342,0.71,1.05,5
0.71,0.43,0.42,0.55,0.07,0.29,0.129,0.9973,0.342,0.72,1.05,5
0.71,0.43,0.42,0.55,0.071,0.28,0.128,0.9973,0.342,0.71,1.05,5
0.71,0.68,0,0.22,0.073,0.12,0.022,0.9969,0.348,0.5,0.93,5
0.68,0.6,0.18,0.19,0.079,0.18,0.086,0.9968,0.359,0.57,0.93,6
0.76,0.95,0.03,0.2,0.09,0.07,0.02,0.9959,0.32,0.56,0.96,5
0.76,0.68,0.02,0.13,0.072,0.09,0.02,0.9965,0.317,1.08,0.92,4
0.78,0.53,0.04,0.17,0.076,0.17,0.031,0.9964,0.333,0.56,1,6
0.74,0.6,0.26,0.73,0.07,0.36,0.121,0.9982,0.337,0.49,0.94,5
0.73,0.59,0.26,0.72,0.07,0.35,0.121,0.9981,0.337,0.49,0.94,5
0.78,0.63,0.48,0.17,0.1,0.14,0.096,0.9961,0.319,0.62,0.95,5
0.68,0.64,0.1,0.21,0.085,0.18,0.101,0.9956,0.334,0.52,1.02,5
0.73,0.55,0.03,0.16,0.072,0.17,0.042,0.9956,0.337,0.48,0.9,4
0.68,0.63,0.07,0.21,0.089,0.11,0.044,0.9953,0.347,0.55,1.04,6
0.75,0.705,0.24,0.18,0.36,0.15,0.063,0.9964,0.3,1.59,0.95,5
0.79,0.885,0.03,0.18,0.058,0.04,0.008,0.9972,0.336,0.33,0.91,4
0.8,0.42,0.17,0.2,0.073,0.06,0.018,0.9972,0.329,0.61,0.92,6
0.8,0.42,0.17,0.2,0.073,0.06,0.018,0.9972,0.329,0.61,0.92,6
0.74,0.62,0.05,0.19,0.068,0.24,0.042,0.9961,0.342,0.57,1.15,6
0.73,0.38,0.21,0.2,0.08,0.07,0.035,0.9961,0.333,0.47,0.95,5
0.69,0.5,0.04,0.15,0.085,0.19,0.049,0.9958,0.335,0.78,0.95,5
0.73,0.38,0.21,0.2,0.08,0.07,0.035,0.9961,0.333,0.47,0.95,5
0.75,0.52,0.42,0.23,0.087,0.08,0.038,0.9972,0.358,0.61,1.05,6
0.7,0.805,0,0.25,0.068,0.07,0.02,0.9969,0.348,0.56,0.96,5
0.88,0.61,0.14,0.24,0.067,0.1,0.042,0.9969,0.319,0.59,0.95,5
0.88,0.61,0.14,0.24,0.067,0.1,0.042,0.9969,0.319,0.59,0.95,5
0.89,0.61,0.49,0.2,0.27,0.23,0.11,0.9972,0.312,1.02,0.93,5
0.72,0.73,0.02,0.25,0.076,0.16,0.042,0.9972,0.344,0.52,0.93,5
0.68,0.61,0.2,0.18,0.077,0.11,0.065,0.9971,0.354,0.58,0.93,5
0.67,0.62,0.21,0.19,0.079,0.08,0.062,0.997,0.352,0.58,0.93,6
0.89,0.31,0.57,0.2,0.111,0.26,0.085,0.9971,0.326,0.53,0.97,5
0.74,0.39,0.48,0.2,0.082,0.14,0.067,0.9972,0.334,0.55,0.92,5
0.77,0.705,0.1,0.26,0.084,0.09,0.026,0.9976,0.339,0.49,0.97,5
0.79,0.5,0.33,0.2,0.084,0.15,0.143,0.9968,0.32,0.55,0.95,5
0.79,0.49,0.32,0.19,0.082,0.17,0.144,0.9968,0.32,0.55,0.95,5
0.82,0.5,0.35,0.29,0.077,0.21,0.127,0.9976,0.323,0.62,0.94,5
0.64,0.37,0.25,0.19,0.074,0.21,0.049,0.9974,0.357,0.62,0.98,6
0.68,0.63,0.12,0.38,0.099,0.16,0.126,0.9969,0.328,0.61,0.95,5
0.76,0.55,0.21,0.22,0.071,0.07,0.028,0.9964,0.328,0.55,0.97,5
0.76,0.55,0.21,0.22,0.071,0.07,0.028,0.9964,0.328,0.55,0.97,5
0.78,0.59,0.33,0.2,0.074,0.24,0.12,0.9968,0.325,0.54,0.94,5
0.73,0.58,0.3,0.24,0.074,0.15,0.055,0.9968,0.346,0.59,1.02,5
1.15,0.3,0.6,0.2,0.067,0.12,0.027,0.9981,0.311,0.97,1.01,6
0.54,0.835,0.08,0.12,0.046,0.13,0.093,0.9924,0.357,0.85,1.3,7
0.69,1.09,0.06,0.21,0.061,0.12,0.031,0.9948,0.351,0.43,1.14,4
0.96,0.32,0.47,0.14,0.056,0.09,0.024,0.99695,0.322,0.82,1.03,7
0.88,0.37,0.48,0.21,0.097,0.39,0.145,0.9975,0.304,1.03,0.93,5
0.68,0.5,0.11,0.15,0.075,0.16,0.049,0.99545,0.336,0.79,0.95,5
0.7,0.42,0.35,0.16,0.088,0.16,0.039,0.9961,0.334,0.55,0.92,5
0.7,0.43,0.36,0.16,0.089,0.14,0.037,0.99615,0.334,0.56,0.92,6
1.28,0.3,0.74,0.26,0.095,0.09,0.028,0.9994,0.32,0.77,1.08,7
1.28,0.3,0.74,0.26,0.095,0.09,0.028,0.9994,0.32,0.77,1.08,7
0.78,0.57,0.31,0.18,0.069,0.26,0.12,0.99625,0.329,0.53,0.93,5
0.78,0.44,0.28,0.27,0.1,0.18,0.095,0.9966,0.322,0.67,0.94,5
1.1,0.3,0.58,0.21,0.054,0.07,0.019,0.998,0.331,0.88,1.05,7
0.97,0.53,0.6,0.2,0.039,0.05,0.019,0.99585,0.33,0.86,1.24,6
0.8,0.725,0.24,0.28,0.083,0.1,0.062,0.99685,0.335,0.56,1,6
1.16,0.44,0.64,0.21,0.059,0.05,0.015,0.998,0.321,0.67,1.02,6
0.82,0.57,0.26,0.22,0.06,0.28,0.065,0.9959,0.33,0.43,1.01,5
0.78,0.735,0.08,0.24,0.092,0.1,0.041,0.9974,0.324,0.71,0.98,6
0.7,0.49,0.49,0.56,0.06,0.26,0.121,0.9974,0.334,0.76,1.05,5
0.87,0.625,0.16,0.2,0.101,0.13,0.049,0.9962,0.314,0.57,1.1,5
0.81,0.725,0.22,0.22,0.072,0.11,0.041,0.9967,0.336,0.55,0.91,5
0.75,0.49,0.19,0.19,0.076,0.1,0.044,0.9957,0.339,0.54,0.97,5
0.78,0.53,0.33,0.24,0.08,0.24,0.144,0.99655,0.33,0.6,0.95,5
0.78,0.34,0.37,0.2,0.082,0.24,0.058,0.9964,0.334,0.59,0.94,6
0.74,0.53,0.26,0.2,0.101,0.16,0.072,0.9957,0.315,0.57,0.94,5
0.68,0.61,0.04,0.15,0.057,0.05,0.01,0.99525,0.342,0.6,0.95,5
0.86,0.645,0.25,0.2,0.083,0.08,0.028,0.99815,0.328,0.6,1,6
0.84,0.635,0.36,0.2,0.089,0.15,0.055,0.99745,0.331,0.57,1.04,4
0.77,0.43,0.25,0.26,0.073,0.29,0.063,0.99615,0.337,0.58,1.05,6
0.89,0.59,0.5,0.2,0.337,0.27,0.081,0.9964,0.304,1.61,0.95,6
0.9,0.82,0.14,0.26,0.089,0.09,0.023,0.9984,0.339,0.63,0.98,5
0.77,0.43,0.25,0.26,0.073,0.29,0.063,0.99615,0.337,0.58,1.05,6
0.69,0.52,0.25,0.26,0.081,0.1,0.037,0.99685,0.346,0.5,1.1,5
0.52,0.48,0.04,0.16,0.054,0.19,0.106,0.9927,0.354,0.62,1.22,7
0.8,0.38,0.06,0.18,0.078,0.12,0.049,0.99625,0.337,0.52,0.99,6
0.85,0.37,0.2,0.28,0.09,0.18,0.058,0.998,0.334,0.7,0.96,6
0.69,0.52,0.25,0.26,0.081,0.1,0.037,0.99685,0.346,0.5,1.1,5
0.82,1,0.09,0.23,0.065,0.07,0.037,0.99685,0.332,0.55,0.9,6
0.72,0.63,0,0.19,0.097,0.14,0.038,0.99675,0.337,0.58,0.9,6
0.72,0.63,0,0.19,0.097,0.14,0.038,0.99675,0.337,0.58,0.9,6
0.72,0.645,0,0.19,0.097,0.15,0.039,0.99675,0.337,0.58,0.92,6
0.72,0.63,0,0.19,0.097,0.14,0.038,0.99675,0.337,0.58,0.9,6
0.82,1,0.09,0.23,0.065,0.07,0.037,0.99685,0.332,0.55,0.9,6
0.89,0.635,0.37,0.17,0.263,0.05,0.062,0.9971,0.3,1.09,0.93,5
1.2,0.38,0.56,0.21,0.093,0.06,0.024,0.99925,0.314,0.71,1.09,6
0.77,0.58,0.1,0.18,0.102,0.28,0.109,0.99565,0.308,0.49,0.98,6
1.5,0.21,0.44,0.22,0.075,0.1,0.024,1.00005,0.307,0.84,0.92,7
1.5,0.21,0.44,0.22,0.075,0.1,0.024,1.00005,0.307,0.84,0.92,7
0.73,0.66,0,0.2,0.084,0.06,0.023,0.9983,0.361,0.96,0.99,6
0.71,0.68,0.07,0.19,0.075,0.16,0.051,0.99685,0.338,0.52,0.95,5
0.82,0.6,0.17,0.23,0.072,0.11,0.073,0.9963,0.32,0.45,0.93,5
0.77,0.53,0.06,0.17,0.074,0.09,0.039,0.99615,0.335,0.48,0.98,6
0.73,0.66,0,0.2,0.084,0.06,0.023,0.9983,0.361,0.96,0.99,6
1.08,0.32,0.44,0.16,0.063,0.16,0.037,0.9985,0.322,0.78,1,6
0.71,0.6,0,0.18,0.074,0.16,0.034,0.9972,0.347,0.7,0.99,6
1.11,0.35,0.48,0.31,0.09,0.05,0.021,0.9986,0.317,0.53,1.05,5
0.77,0.775,0.42,0.19,0.092,0.08,0.086,0.9959,0.323,0.59,0.95,5
0.71,0.6,0,0.18,0.074,0.16,0.034,0.9972,0.347,0.7,0.99,6
0.8,0.57,0.23,0.32,0.073,0.17,0.119,0.99675,0.326,0.57,0.93,5
0.94,0.34,0.37,0.22,0.075,0.05,0.013,0.998,0.322,0.62,0.92,5
0.66,0.695,0,0.21,0.075,0.12,0.056,0.9968,0.349,0.67,0.92,5
0.77,0.41,0.76,0.18,0.611,0.08,0.045,0.9968,0.306,1.26,0.94,5
1,0.31,0.47,0.26,0.085,0.14,0.033,0.99965,0.336,0.8,1.05,7
0.79,0.33,0.23,0.17,0.077,0.18,0.045,0.99625,0.329,0.65,0.93,5
0.7,0.975,0.04,0.2,0.087,0.12,0.067,0.99565,0.335,0.6,0.94,4
0.8,0.52,0.03,0.17,0.07,0.1,0.035,0.99575,0.334,0.57,1,5
0.79,0.37,0.23,0.18,0.077,0.23,0.049,0.9963,0.328,0.67,0.93,5
1.25,0.56,0.49,0.24,0.064,0.05,0.027,0.9999,0.308,0.87,1.09,5
1.18,0.26,0.52,0.18,0.071,0.06,0.01,0.9968,0.32,0.72,1.02,7
0.81,0.87,0,0.33,0.096,0.26,0.061,1.00025,0.36,0.72,0.98,4
0.79,0.35,0.46,0.36,0.078,0.15,0.037,0.9973,0.335,0.86,1.28,8
0.69,0.54,0.04,0.3,0.077,0.07,0.027,0.9987,0.369,0.91,0.94,6
1.15,0.18,0.51,0.4,0.104,0.04,0.023,0.9996,0.328,0.97,1.01,6
0.79,0.545,0.06,0.4,0.087,0.27,0.061,0.9965,0.336,0.67,1.07,6
1.15,0.18,0.51,0.4,0.104,0.04,0.023,0.9996,0.328,0.97,1.01,6
1.09,0.37,0.58,0.4,0.071,0.17,0.065,0.99935,0.322,0.78,1.01,5
0.84,0.715,0.2,0.24,0.076,0.1,0.038,0.99735,0.331,0.64,0.94,5
0.75,0.65,0.18,0.7,0.088,0.27,0.094,0.99915,0.338,0.77,0.94,5
0.79,0.545,0.06,0.4,0.087,0.27,0.061,0.9965,0.336,0.67,1.07,6
0.69,0.54,0.04,0.3,0.077,0.07,0.027,0.9987,0.369,0.91,0.94,6
1.15,0.18,0.51,0.4,0.104,0.04,0.023,0.9996,0.328,0.97,1.01,6
1.03,0.32,0.45,0.64,0.073,0.05,0.013,0.9976,0.323,0.82,1.26,8
0.89,0.4,0.32,0.56,0.087,0.1,0.047,0.9991,0.338,0.77,1.05,7
1.14,0.26,0.44,0.36,0.071,0.06,0.019,0.9986,0.312,0.82,0.93,6
0.77,0.27,0.68,0.35,0.358,0.05,0.01,0.9972,0.325,1.08,0.99,7
0.76,0.52,0.12,0.3,0.067,0.12,0.053,0.9971,0.336,0.57,0.91,5
0.89,0.4,0.32,0.56,0.087,0.1,0.047,0.9991,0.338,0.77,1.05,7
0.99,0.59,0.07,0.34,0.102,0.32,0.071,1.00015,0.331,0.71,0.98,5
0.99,0.59,0.07,0.34,0.102,0.32,0.071,1.00015,0.331,0.71,0.98,5
1.2,0.45,0.55,0.2,0.073,0.25,0.049,0.9997,0.31,0.76,1.03,6
0.75,0.4,0.12,0.3,0.092,0.29,0.053,0.9967,0.337,0.7,1.03,6
0.87,0.52,0.09,0.25,0.091,0.2,0.049,0.9976,0.334,0.86,1.06,7
1.16,0.42,0.53,0.33,0.105,0.33,0.098,1.001,0.32,0.95,0.92,5
0.87,0.52,0.09,0.25,0.091,0.2,0.049,0.9976,0.334,0.86,1.06,7
1.1,0.2,0.48,0.2,0.343,0.06,0.018,0.9979,0.33,0.71,1.05,5
1.04,0.55,0.23,0.27,0.091,0.18,0.048,0.9994,0.322,0.64,1.03,6
0.69,0.36,0.25,0.24,0.098,0.05,0.016,0.9964,0.341,0.6,1.01,6
1.33,0.34,0.52,0.32,0.094,0.17,0.053,1.0014,0.305,0.81,0.95,6
1.08,0.5,0.46,0.25,0.073,0.05,0.027,1.0001,0.305,0.64,0.95,5
1.06,0.83,0.37,0.26,0.086,0.26,0.07,0.9981,0.316,0.52,0.99,5
